response,rxtime,subj,highDimCoh,irrDimCoh,lowDimCoh
4,1.53285929141566,2,1,2,1
4,0.883297227323055,2,2,1,2
4,2.11604776326567,2,2,2,1
3,1.78314627334476,2,1,2,2
1,3.69907021848485,2,1,1,2
2,1.86605991283432,2,2,1,2
1,2.29938794346526,2,2,1,1
3,1.48290651571006,2,2,1,2
2,1.81613037921488,2,2,2,2
4,1.19965203013271,2,2,2,2
4,1.1664560274221,2,2,1,2
2,3.38232905091718,2,1,1,1
4,6.98128182021901,2,2,2,1
4,1.08295589778572,2,1,1,1
2,3.04918215889484,2,2,2,2
1,1.04990176390857,2,1,2,2
4,3.64892848627642,2,2,2,1
2,3.84900491358712,2,1,1,1
2,2.51602524518967,2,2,1,2
4,2.53267184412107,2,2,1,2
2,2.23277045786381,2,1,2,1
2,2.09941746434197,2,2,2,2
1,4.13213081192225,2,2,1,1
4,1.69960328144953,2,2,2,2
